,Total,Suisse,Albanie,Andorre,Belgique,Bulgarie,Danemark,Allemagne,Finlande,France,Grèce,Royaume-Uni,Irlande,Islande,Italie,Liechtenstein,Luxembourg,Malte,Monaco,Pays-Bas,Norvège,Autriche,Pologne,Portugal,Roumanie,Saint-Marin,Suède,Espagne,Turquie,Hongrie,Cité du Vatican,Chypre,Slovaquie,République tchèque,Serbie,Croatie,Slovénie,Bosnie et Herzégovine,Monténégro,Macédoine,Kosovo,Estonie,Lettonie,Lituanie,Moldova,Russie,Ukraine,Bélarus,Guinée équatoriale,Ethiopie,Djibouti,Algérie,Angola,Botswana,Burundi,Bénin,Côte d'Ivoire,Gabon,Gambie,Ghana,Guinée-Bissau,Guinée,Cameroun,Cap-Vert,Kenya,Comores,Congo (Brazzaville),Congo (Kinshasa),Lesotho,Libéria,Libye,Madagascar,Malawi,Mali,Maroc,Mauritanie,Maurice,Mozambique,Niger,Nigéria,Burkina Faso,Zimbabwe,Rwanda,Zambie,Sao Tomé-et-Principe,Sénégal,Seychelles,Sierra Leone,Somalie,Afrique du Sud,Soudan,Namibie,Swaziland,Tanzanie,Togo,Tchad,Tunisie,Ouganda,Egypte,République centrafricaine,Erythrée,Soudan du Sud,Sahara occidental,Argentine,Bahamas,Barbade,Bolivie,Brésil,Chili,Costa Rica,République dominicaine,Equateur,El Salvador,Guatemala,Guyana,Haïti,Belize,Honduras,Jamaïque,Canada,Colombie,Cuba,Mexique,Nicaragua,Panama,Paraguay,Pérou,Suriname,Trinité-et-Tobago,Uruguay,Venezuela,Etats-Unis,Dominique,Grenade,Antigua-et-Barbuda,Sainte-Lucie,Saint-Vincent-et-les Grenadines,Saint-Kitts-et-Nevis,Afghanistan,Bahreïn,Bhoutan,Brunéi Darussalam,Myanmar,Sri Lanka,Taïwan (Taipei chinois),Chine,Inde,Indonésie,Irak,Iran,Israël,Japon,Yémen,Jordanie,Cambodge,Qatar,Koweït,Laos,Liban,Malaisie,Maldives,Oman,Mongolie,Népal,Corée (Nord),Emirats arabes unis,Pakistan,Philippines,Arabie saoudite,Singapour,Corée (Sud),Syrie,Thaïlande,Vietnam,Bangladesh,Timor-Leste,Palestine,Arménie,Azerbaïdjan,Géorgie,Kazakhstan,Kirghizistan,Tadjikistan,Turkménistan,Ouzbékistan,Australie,Fidji,Vanuatu,Nouvelle-Zélande,Papouasie-Nouvelle-Guinée,Tonga,Samoa,Iles Salomon,Kiribati,Iles Marshall,Palaos,Apatride,Sans indication
Total,8327126,6278459,1590,27,12927,6443,4897,300691,3810,122970,11453,41766,4074,420,311742,1710,1464,203,24,20664,1931,41145,24872,267474,12235,17,7965,82334,69215,17525,2,411,13657,7510,71260,29355,5286,31905,2536,64448,106879,765,2092,1827,701,15420,6423,1190,21,3326,32,4093,3703,51,278,367,1790,133,594,1463,149,908,4462,1011,1660,20,732,5890,23,151,843,630,83,273,7573,61,917,118,120,2453,421,331,468,125,14,1509,58,204,6907,1853,690,67,28,317,1504,130,7488,367,2454,50,24860,33,8,1769,27,38,1933,19751,3401,392,5909,2731,239,266,19,486,12,249,363,7014,4472,1732,3000,267,164,442,2898,8,106,370,1238,19257,144,4,13,21,5,33,6957,53,53,22,192,27667,899,17083,13589,1839,7092,4593,1434,5580,563,571,852,74,124,296,2275,1374,45,61,770,507,88,76,3027,5477,687,778,2172,10643,9058,4409,1766,8,213,703,621,631,976,241,91,54,505,3287,43,1,852,17,7,7,10,1,1,4,339,1467
Né en Suisse,5910732,5514113,262,2,1520,423,587,33159,442,14968,1491,4442,457,43,100207,909,139,14,0,2889,268,5712,1945,50760,794,7,1015,20546,21339,1075,0,19,994,626,18276,7887,630,7232,668,18956,32870,46,156,111,43,1068,259,58,2,704,7,733,1151,0,46,35,201,7,38,266,15,110,537,198,126,4,176,1733,1,26,206,43,7,17,823,6,80,15,18,289,24,26,69,6,0,129,9,36,1681,139,131,4,1,25,290,34,1469,38,222,0,4673,2,2,83,3,1,153,1114,423,11,652,260,16,12,1,45,0,11,25,642,257,53,130,17,6,24,208,1,2,26,51,1163,8,0,0,0,2,2,814,1,1,0,7,7585,16,1383,1557,98,1525,392,137,267,102,66,184,4,4,38,306,97,2,1,80,25,2,2,537,454,36,36,97,1092,345,604,337,0,29,59,50,55,44,16,8,3,36,246,1,0,71,1,1,1,1,0,0,0,46,371
Né à l'étranger,2416394,764346,1328,25,11407,6020,4310,267532,3368,108002,9962,37324,3617,377,211535,801,1325,189,24,17775,1663,35433,22927,216714,11441,10,6950,61788,47876,16450,2,392,12663,6884,52984,21468,4656,24673,1868,45492,74009,719,1936,1716,658,14352,6164,1132,19,2622,25,3360,2552,51,232,332,1589,126,556,1197,134,798,3925,813,1534,16,556,4157,22,125,637,587,76,256,6750,55,837,103,102,2164,397,305,399,119,14,1380,49,168,5226,1714,559,63,27,292,1214,96,6019,329,2232,50,20187,31,6,1686,24,37,1780,18637,2978,381,5257,2471,223,254,18,441,12,238,338,6372,4215,1679,2870,250,158,418,2690,7,104,344,1187,18094,136,4,13,21,3,31,6143,52,52,22,185,20082,883,15700,12032,1741,5567,4201,1297,5313,461,505,668,70,120,258,1969,1277,43,60,690,482,86,74,2490,5023,651,742,2075,9551,8713,3805,1429,8,184,644,571,576,932,225,83,51,469,3041,42,1,781,16,6,6,9,1,1,4,293,1096
Moins d'un an,112786,7750,149,1,1038,555,390,17431,336,10797,1274,3253,433,46,12677,59,158,22,2,1242,200,2467,2951,6458,1204,1,746,4455,1172,2408,0,86,1503,729,1167,370,745,513,58,1262,2022,79,177,199,35,1444,617,87,2,103,1,212,32,15,22,32,79,30,29,66,5,30,187,23,143,6,10,53,1,1,28,56,14,11,360,4,51,16,10,158,39,35,32,11,0,143,4,14,52,186,36,16,1,41,67,3,416,30,257,0,340,7,0,196,4,3,81,1177,133,63,314,152,23,34,0,30,0,14,24,765,325,128,413,28,25,27,139,1,9,27,97,2546,10,0,0,2,0,3,107,10,12,11,42,681,260,2754,1369,260,128,247,145,705,15,65,48,8,23,18,187,175,9,13,39,59,10,20,217,441,139,121,508,528,741,365,127,1,13,41,74,52,170,35,4,3,46,498,9,0,102,0,0,0,0,0,0,0,3,47
1-4 ans,477439,25275,499,18,3591,3212,1266,74547,1121,36472,4495,12462,1392,231,46490,167,470,65,11,4438,449,7923,11385,55168,5909,4,2087,21752,5204,9246,1,186,6167,2721,4802,1571,2371,2076,242,4998,8675,406,896,874,225,6091,2586,454,8,857,9,768,194,25,44,103,433,54,150,304,76,252,743,152,481,5,53,507,12,25,318,209,32,106,1643,22,258,36,31,719,130,115,84,55,6,458,11,30,1496,645,184,34,17,87,243,21,1750,92,952,11,12501,19,1,604,11,11,550,5509,489,158,1245,623,78,106,7,88,4,102,90,2221,1271,466,1263,73,72,163,680,0,45,83,409,7955,37,0,5,5,1,15,3090,27,26,9,74,2426,463,6993,5479,609,981,1284,540,1904,165,226,112,35,60,43,626,394,15,40,237,209,50,41,756,1481,328,305,844,7204,2396,979,400,7,55,271,307,232,441,71,40,27,185,1190,18,1,286,12,1,4,6,0,0,4,79,650
5-9 ans,372518,33188,234,2,2293,1377,876,91162,734,25241,1567,9777,848,57,21460,118,297,55,6,3601,297,5819,5883,48374,2784,1,1626,5903,5799,2961,0,74,3349,1452,4772,1661,457,1703,202,4767,9886,159,506,384,223,3879,1693,354,5,536,12,736,208,11,32,97,421,18,159,184,22,204,1197,159,335,3,87,526,8,27,54,153,19,61,1784,17,178,19,28,503,91,77,54,25,6,305,7,21,2028,502,124,3,6,66,366,27,1429,76,482,12,6398,1,1,416,3,4,677,6176,456,91,1111,767,57,56,2,113,1,59,64,1504,1107,463,727,88,35,130,667,3,13,71,311,3804,21,1,0,5,0,7,1718,12,10,2,46,3892,111,2965,2724,308,1658,1195,315,1000,133,93,86,12,16,18,460,261,5,0,261,124,10,7,512,1165,73,141,320,1173,2115,487,239,0,53,146,100,120,210,80,33,11,158,656,5,0,175,1,3,0,3,1,1,0,90,224
10-14 ans,243959,45016,164,3,1356,498,489,38754,400,11950,458,4362,433,22,11603,81,125,17,1,2091,194,4300,1314,38479,904,0,870,2496,6989,700,1,14,995,641,6000,1778,113,2452,242,6369,9756,49,224,168,139,1750,907,189,1,533,1,747,804,0,59,67,383,7,146,269,15,207,1156,162,242,1,163,1126,1,42,66,100,4,50,1313,6,128,20,29,506,87,40,100,11,1,226,2,57,696,217,88,3,1,52,428,26,950,57,235,11,511,2,0,222,3,5,276,3236,264,41,1040,577,22,22,3,76,1,28,58,863,793,359,280,43,9,55,516,3,10,25,212,1462,27,2,7,4,2,3,599,0,1,0,16,2422,30,1733,1177,249,1453,658,138,662,89,49,87,2,5,24,300,141,8,3,110,54,9,1,441,624,44,81,173,328,1816,392,391,0,34,108,70,91,73,30,3,6,66,307,2,0,117,3,2,1,0,0,0,0,72,104
15-19 ans,154369,47802,148,0,689,205,396,11896,228,5771,199,2165,183,6,6005,42,54,8,0,1267,143,2131,386,13426,296,1,433,1386,5156,301,0,6,314,405,7468,1379,80,2429,205,6648,12266,15,110,63,30,706,273,33,1,381,1,373,531,0,33,12,146,5,56,130,7,64,391,97,160,1,137,833,0,11,127,38,4,11,803,2,73,4,3,170,31,17,59,10,1,127,8,33,427,88,34,6,0,23,55,8,658,29,102,4,173,2,4,78,1,6,66,1523,202,15,746,262,10,15,1,46,1,21,47,483,515,199,92,8,7,11,307,0,16,25,93,802,16,0,0,2,0,0,403,2,2,0,6,2353,3,553,541,157,1100,351,46,450,49,38,21,1,4,5,146,119,5,2,35,20,1,1,234,473,9,50,95,166,826,228,143,0,17,58,15,57,29,5,1,1,7,151,2,0,48,0,0,1,0,0,0,0,23,43
20-24 ans,184157,49529,87,0,544,81,247,6454,115,3536,139,1140,92,3,8231,35,41,1,0,1188,107,1935,207,24809,104,0,246,2764,4947,126,0,7,96,232,13754,6613,181,9593,495,12489,20529,6,9,15,1,263,37,9,0,96,0,210,461,0,24,2,62,4,9,113,4,12,138,117,101,0,44,418,0,9,25,11,2,5,439,2,52,2,1,59,11,2,60,5,0,52,4,4,452,29,50,0,1,9,25,3,269,8,52,3,56,0,0,46,2,3,40,667,137,7,633,43,10,11,0,36,3,7,24,198,115,44,35,4,3,13,224,0,4,15,39,447,15,0,1,1,0,1,124,0,1,0,0,3457,5,249,201,67,142,146,22,256,8,12,50,0,0,26,86,50,0,0,2,9,4,3,168,378,20,23,30,40,521,438,78,0,7,9,2,12,7,2,1,3,1,73,3,0,23,0,0,0,0,0,0,0,5,11
25-29 ans,118533,29457,13,0,467,24,149,4504,76,2568,137,841,53,8,9284,35,26,3,0,945,68,1537,136,18062,72,0,198,4541,6200,81,0,4,24,56,8597,3880,136,3465,240,6494,7781,3,0,2,0,91,1,0,2,35,1,99,123,0,9,3,18,5,0,80,2,6,39,58,34,0,16,247,0,5,6,9,0,1,187,0,51,1,0,16,2,4,2,1,0,27,2,1,33,15,18,1,1,2,7,2,210,6,28,0,104,0,0,34,0,1,27,170,171,3,107,15,4,3,2,17,2,2,9,86,26,7,27,2,3,7,75,0,2,12,15,258,6,0,0,0,0,0,45,0,0,0,0,3813,3,189,168,16,17,149,18,83,0,4,71,0,9,27,93,51,0,0,0,2,0,1,95,220,6,10,25,52,152,249,29,0,1,0,0,1,0,0,0,0,2,49,0,0,10,0,0,0,0,0,0,0,0,2
