code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
main.title,"Long-term ""foreigners"" in Switzerland and temporary residents ","""Etrangers"" en Suisse de longue date et ceux résidant de manière temporaire",,,,,,,,
descr,Length of stay in Switzerland of main foreign nationalities in Switzerland in 2015. Nationalities are ranked by size,Durée de résidence des principales nationalités étrangères en Suisse en 2015. Les nationalités sont disposées par ordre d'importance.,,,,,,,,
source,Source,source,Quelle,Fonte,fonte,المصدر,Источник,Fuente,出典,来源
source.name,Federal Statistical Office - demographics and migration 2015,Office fédéral de la statistique - Démographie et migration 2015,,,,,,,,
code,Code,code,Code,Codice,código,الرمز,Код,código,コード,代码
code.name,Highcharter,Highcharter,Highcharter,Highcharter,Highcharter,Highcharter,Highcharter,Highcharter,Highcharter,Highcharter
tp.resident,", resident in Switzerland",résident en Suisse ,,,,,,,,
tp.thousand,thousand,mille,,,,,,,,
Italie,Italy,Italie,,,,,,,,
Allemagne,Germany,Allemagne,,,,,,,,
Portugal,Portugal,Portugal,,,,,,,,
France,France,France,,,,,,,,
Kosovo,Kosovo,Kosovo,,,,,,,,
Espagne,Spain,Espagne,,,,,,,,
Serbie,Serbia,Serbie,,,,,,,,
Turquie,Turkey,Turquie,,,,,,,,
Macédoine,Macedonia,Macédoine,,,,,,,,
Royaume-Uni,Britain,Royaume-Uni,,,,,,,,
Autriche,Austria,Autriche,,,,,,,,
Bosnie et Herzégovine,Bosnia and Herzegovina,Bosnie-Herzégovine,,,,,,,,
Croatie,Croatia,Croatie,,,,,,,,
Sri Lanka,Sri Lanka,Sri Lanka,,,,,,,,
Pologne,Poland,Pologne,,,,,,,,
typel.1,born in Switzerland,né en Suisse,,,,,,,,
typel.2,<1 year,< 1 an,,,,,,,,
typel.3,1-4 years,1-4 ans,,,,,,,,
typel.4,5-9 years,5-9 ans,,,,,,,,
typel.5,10-14 years,10-14 ans,,,,,,,,
typel.6,15-19 years,15-19 ans,,,,,,,,
typel.7,20-24 years,20-24 ans,,,,,,,,
typel.8,25-29 years,25-29 ans,,,,,,,,
typel.9,> 30 years,> 30 ans,,,,,,,,
